video_name,channel_name,channel_id,date,region_code,category_Id,category,view,like,comment,channel_subscribers,channel_videoCount,popularity_%,engagement_%,growth_%,duration(sec),country,country_code
Danny MacAskill’s Postcard from San Francisco,Red Bull Bike,UCXqlds5f7B2OOs9vQuevl4A,2022-11-29,GB,17,Sports,404583,20017.0,1243.0,1750000,1385,4.95,0.31,23.12,301,United Kingdom,GBR
Can you beat two Mario games with ONE controller?,DougDoug,UClyGlKOhDUooPJFy4v_mqPg,2022-11-29,GB,20,Gaming,469152,37700.0,1181.0,1990000,137,8.04,0.25,23.58,797,United Kingdom,GBR
Family Mysteries Expleened,Storymode,UCGeIjGngCkErevSNHdZYD5Q,2022-11-30,GB,20,Gaming,159648,10505.0,836.0,461000,37,6.58,0.52,34.63,2135,United Kingdom,GBR
"Popcaan - ""Next To Me"" ft Toni-Ann Singh (Official Video)",Popcaan,UCYGHSw2kacL589nNX4l0fMg,2022-11-30,GB,10,Music,301448,34145.0,2196.0,1850000,97,11.33,0.73,16.29,243,United Kingdom,GBR
Pokemon Violet is a stable game with no glitches at all,PointCrow,UCG6zBb8GZKo1XZW4eHdg-0Q,2022-11-29,GB,20,Gaming,334731,17973.0,1077.0,1390000,187,5.37,0.32,24.08,1384,United Kingdom,GBR
FARMING BASE EXPANSION - Episode 2 - Minecraft Modded (Vault Hunters),iskall85,UCZ9x-z3iOnIbJxVpm1rsu2A,2022-11-29,GB,20,Gaming,236318,19621.0,981.0,1650000,1823,8.3,0.42,14.32,1966,United Kingdom,GBR
Metro Boomin - Heroes & Villains (Short Film),Metro Boomin,UCKC11MOR51CLg4JpYj8jb4g,2022-11-29,GB,10,Music,419175,49703.0,2991.0,1070000,60,11.86,0.71,39.18,384,United Kingdom,GBR
Talking to Sam Bankman Fried,Coffeezilla,UCFQMnBA3CS502aghlcr0_aw,2022-11-29,GB,24,Entertainment,1227899,56607.0,5484.0,1520000,495,4.61,0.45,80.78,1094,United Kingdom,GBR
Minecraft Players Simulate World Extinction,Sipover,UCIDQSqdVuNwtfRMKqfX-o7g,2022-11-29,GB,22,People & Blogs,327306,19032.0,909.0,1710000,32,5.81,0.28,19.14,861,United Kingdom,GBR
"I'm broke, I need 20,000 tiles | tileman #22",Settled,UCs-w7E2HZWwXmjt9RTvBB_A,2022-11-29,GB,20,Gaming,329170,18543.0,1132.0,596000,194,5.63,0.34,55.23,1533,United Kingdom,GBR
Need for Speed Unbound Gameplay Walkthrough Part 1 - The Intro!,BlackPanthaa,UCeePGrzBN3B2GurSkd_bwPQ,2022-11-29,GB,20,Gaming,452853,17941.0,1998.0,1440000,4193,3.96,0.44,31.45,2414,United Kingdom,GBR
PinkPantheress - Boy's a liar (Official Audio),Pinkpantheress,UCufuq24Cef6-CdmEiZmXTBg,2022-11-30,GB,10,Music,78592,16807.0,1028.0,457000,19,21.39,1.31,17.2,132,United Kingdom,GBR
Highlights: Pulisic sends United States into second round | World Cup 2022,BBC Sport,UCW6-BQWFA70Dyyc7ZpZ9Xlg,2022-11-29,GB,17,Sports,207952,1734.0,358.0,613000,1674,0.83,0.17,33.92,175,United Kingdom,GBR
TRAILER | Training Ground | Michael Beale Day One | 29 Nov 2022,Rangers Football Club (Official),UCVaGyBPoEAZItDjlFPsRcSA,2022-11-29,GB,17,Sports,25564,0.0,93.0,178000,7906,0.0,0.36,14.36,85,United Kingdom,GBR
Will Smith Finally Addresses Oscar Slap | The Daily Show,Comedy Central UK,UCsv4YOF2RBYh0NQ1vuHQ-hg,2022-11-29,GB,23,Comedy,64760,815.0,477.0,2000000,5409,1.26,0.74,3.24,281,United Kingdom,GBR
REVEALING the MYSTERY CAR! What's Under the Cover | SHMUSEUM VLOG 102,The Shmuseum,UCJe3Q_zVSfCA0wRqR3_GWtg,2022-11-29,GB,22,People & Blogs,73821,3537.0,232.0,129000,128,4.79,0.31,57.23,1841,United Kingdom,GBR
[2022 MAMA] Stray Kids - a strange incident+VENOM(MAMA ver.)+I AM MANIAC+MANIAC | Mnet 221129 방송,Mnet K-POP,UCbD8EppRX3ZwJSou-TVo90A,2022-11-29,GB,20,Gaming,2474540,251245.0,11832.0,20000000,29735,10.15,0.48,12.37,561,United Kingdom,GBR
Why I STILL Have MrBeast's 100 Million Play Button,JackSucksAtStuff,UCxLIJccyaRQDeyu6RzUsPuw,2022-11-29,GB,24,Entertainment,195836,13957.0,1051.0,983000,478,7.13,0.54,19.92,1180,United Kingdom,GBR
"The Mean One - Official Trailer: Grinch Horror Parody (2022) David Howard Thornton, Krystle Martin",IGN Movie Trailers,UCWJ5MfdQZ6jXbF5gYuSAf5Q,2022-11-28,GB,24,Entertainment,516384,7843.0,848.0,124000,2070,1.52,0.16,416.44,93,United Kingdom,GBR
Metallica: Lux Æterna (Official Music Video),Metallica,UCbulh9WdLtEXiooRcYK7SWw,2022-11-28,GB,10,Music,5410733,292553.0,33250.0,9170000,1791,5.41,0.61,59.0,211,United Kingdom,GBR
7 Continents In 7 Days - South America (Day 6),Simon Wilson,UCQCrKxBj5Id79syQEsY2Qxg,2022-11-28,GB,22,People & Blogs,210118,11268.0,1400.0,991000,255,5.36,0.67,21.2,1280,United Kingdom,GBR
"Reacting to NEW Metallica ""Lux Æterna""",Rick Beato,UCJquYOG5EL82sKTfH9aMA9Q,2022-11-29,GB,10,Music,313832,15280.0,3386.0,3250000,1096,4.87,1.08,9.66,436,United Kingdom,GBR
HIGHLIGHTS | Sarr and Koulibaly send Senegal through to the last 16 of the World Cup | ITV Sport,ITV Sport,UCBzDz6beXDfMtfxQdEutD_w,2022-11-29,GB,17,Sports,196072,1845.0,0.0,201000,756,0.94,0.0,97.55,304,United Kingdom,GBR
Future - 712PM (Directed by Travis Scott),FutureVEVO,UCFNosi99Sp0_eLilBiXmmXA,2022-11-29,GB,10,Music,571622,48924.0,2361.0,4430000,320,8.56,0.41,12.9,176,United Kingdom,GBR
Scott The Woz Merchandise for Charity Bonanza 2022,Scott The Woz,UC4rqhyiTs7XyuODcECvuiiQ,2022-11-30,GB,20,Gaming,161159,15020.0,1248.0,1760000,257,9.32,0.77,9.16,1738,United Kingdom,GBR
Behzinga's World Cup Catch Up Show,Beh2inga,UCbzZFTHge5zk2yebSiWRZRg,2022-11-29,GB,17,Sports,105926,7361.0,178.0,2010000,2328,6.95,0.17,5.27,518,United Kingdom,GBR
24 Hours With Rita Ora and Taika Waititi | Vogue,Vogue,UCRXiA3h1no_PFkb1JCP0yMA,2022-11-29,GB,22,People & Blogs,193302,4838.0,196.0,12300000,2826,2.5,0.1,1.57,500,United Kingdom,GBR
THE MOMENT ENGLAND BEAT WALES in WORLD CUP 2022,Theo Baker,UCAvwetms56ntZtQWkYoqEIQ,2022-11-29,GB,24,Entertainment,37688,1809.0,71.0,1080000,551,4.8,0.19,3.49,583,United Kingdom,GBR
Omah Lay -  soso (Official Music Video),Omah Lay,UCSUVM9Ygr6AI5Eje5BnFhtw,2022-11-29,GB,10,Music,337614,25892.0,1789.0,1210000,82,7.67,0.53,27.9,185,United Kingdom,GBR
Run BTS! 2022 Special Episode - 'RUN BTS TV' On-air Part 2,BANGTANTV,UCLkAepWjdylmXSltofFvsYQ,2022-11-29,GB,10,Music,3570244,330333.0,9726.0,72200000,1863,9.25,0.27,4.94,2341,United Kingdom,GBR
WATER TESTING 64 Person Enclosed Lifeboat For The FIRST Time!!,AYO Fishing,UCNsjdLTgAPIlVUldlPzG7rQ,2022-11-30,GB,22,People & Blogs,275168,18433.0,1901.0,468000,130,6.7,0.69,58.8,1488,United Kingdom,GBR
ATEEZ(에이티즈) - 'Paradigm' Official MV (Performance ver.),KQ ENTERTAINMENT,UCQdq-lqPEq_yZ_wP_kuVB9Q,2022-11-29,GB,10,Music,747676,120367.0,8574.0,2280000,491,16.1,1.15,32.79,209,United Kingdom,GBR
Not skipping boring NPC dialogue,Viva La Dirt League,UCchBatdUMZoMfJ3rIzgV84g,2022-11-30,GB,20,Gaming,527058,52473.0,2817.0,4310000,1137,9.96,0.53,12.23,141,United Kingdom,GBR
Fortnite Season 4 Story Recap  | WATCH BEFORE THE LIVE EVENT,PlayStationGrenade,UC-KM4Su6AEkUNea4TnYbBBg,2022-11-29,GB,20,Gaming,215210,9221.0,836.0,2080000,707,4.28,0.39,10.35,577,United Kingdom,GBR
Ronnie O'Sullivan's 3:34 Century | 2022 BetVictor Scottish Open,World Snooker Tour,UC5lTEvtwu6SR3LMSmU9VZ2Q,2022-11-29,GB,17,Sports,208181,2615.0,453.0,306000,4069,1.26,0.22,68.03,281,United Kingdom,GBR
What if Super Mario Odyssey's Hardest Level was Kaizo?,Fir,UCGxYHAR9f_leP1yXDXNNDsA,2022-11-29,GB,20,Gaming,91075,5224.0,207.0,163000,104,5.74,0.23,55.87,1316,United Kingdom,GBR
When You Finish Saving The World | Official Trailer HD | A24,A24,UCuPivVjnfNo4mb3Oog_frZg,2022-11-29,GB,1,Film & Animation,502695,15027.0,730.0,831000,605,2.99,0.15,60.49,145,United Kingdom,GBR
We Bought 3 Cheap Wrecked Exotic Cars For Less $$$ Than A C8 Z06 Corvette | Car Trek S9E1,Tavarish,UCvAhDxNNUDhi78tMXVGBUaQ,2022-11-28,GB,2,Autos & Vehicles,647925,29284.0,1993.0,2220000,538,4.52,0.31,29.19,2728,United Kingdom,GBR
Koreya Respublikası 2 - 3 Qana | İCMAL | FIFA WORLD CUP QATAR 2022,İCTİMAİ TV,UCCYhaH52lUEmfUjX-_OBAHg,2022-11-28,GH,25,News & Politics,557179,5133.0,413.0,800000,54039,0.92,0.07,69.65,501,Ghana,GHA
Best Friends in the World: Senior Year | Episode 15,Neptune3 Studios,UCCl71WmqkG8BjVuySOSCh_Q,2022-11-25,GH,1,Film & Animation,1173681,38936.0,2500.0,1200000,128,3.32,0.21,97.81,4044,Ghana,GHA
EMPIRE & Black Sherif - Run (Official Audio),Black Sherif Music,UCKfrbVDBEq-wcYC4rUzEosA,2022-11-29,GH,10,Music,49950,6077.0,561.0,698000,44,12.17,1.12,7.16,153,Ghana,GHA
Kudus goals win the game! | Korea Republic v Ghana | FIFA World Cup Qatar 2022,FIFA,UCpcTrCXblq78GZrTUTLWeBw,2022-11-29,GH,17,Sports,538625,8894.0,878.0,16000000,10034,1.65,0.16,3.37,128,Ghana,GHA
Lil Win Ft. Odehyieba - Heaven (Official Music Video),Lil Win Official,UCXxyKy7rNbc5AxTn4YP1dkA,2022-11-28,GH,10,Music,127201,5957.0,313.0,105000,89,4.68,0.25,121.14,409,Ghana,GHA
"STORMZY - THIS IS WHAT I MEAN (starring. AMAARAE, BLACK SHERIF, JACOB COLLIER, MS BANKS & STORRY)",Stormzy,UC7D-09kUG6Ei11SVO_deW_w,2022-11-27,GH,10,Music,639497,36732.0,1814.0,2140000,67,5.74,0.28,29.88,339,Ghana,GHA
RESUMEN ECUADOR 1-2 SENEGAL,Gol Mundial,UCWw6r_yGcl7fC0bShxOYhWg,2022-11-29,GH,17,Sports,1280084,10015.0,930.0,197000,2129,0.78,0.07,649.79,302,Ghana,GHA
Best Friends in the World: Senior Year | Episode 14,Neptune3 Studios,UCCl71WmqkG8BjVuySOSCh_Q,2022-11-11,GH,1,Film & Animation,1920463,64832.0,4837.0,1200000,128,3.38,0.25,160.04,3257,Ghana,GHA
Portugal vs. Uruguai  | Melhores momentos | Mundial 2022,RTP,UCWPpeeDOykyH5ducPITCDPw,2022-11-28,GH,17,Sports,854819,5947.0,285.0,615000,24828,0.7,0.03,138.99,120,Ghana,GHA
AFRICAN HOME: GOLD PALAVA,SamSpedy,UCUocOQtoaHPuT0K8lME559A,2022-11-27,GH,23,Comedy,813841,29834.0,1736.0,2730000,270,3.67,0.21,29.81,1047,Ghana,GHA
Omah Lay -  soso (Official Music Video),Omah Lay,UCSUVM9Ygr6AI5Eje5BnFhtw,2022-11-29,GH,10,Music,337614,25892.0,1789.0,1210000,82,7.67,0.53,27.9,185,Ghana,GHA
Sarkodie performing Rollies And Cigars with the BBC Philharmonic,Sarkodie,UC3lnDRwdK-CD2xjO-16zmmg,2022-11-29,GH,10,Music,49728,4657.0,524.0,915000,254,9.36,1.05,5.43,295,Ghana,GHA
McBrown's Kitchen with Oliver Khan & Bright Kankam Boadu | SE17 EP06,McBrown's Kitchen,UC1h4jnzxRTLKjYkek6LxJRA,2022-11-13,GH,26,Howto & Style,296972,7959.0,1160.0,248000,240,2.68,0.39,119.75,3589,Ghana,GHA
Sarkodie feat. Black Sherif - Country Side (Audio),Sarkodie,UC3lnDRwdK-CD2xjO-16zmmg,2022-11-11,GH,10,Music,494399,17438.0,1782.0,915000,254,3.53,0.36,54.03,222,Ghana,GHA
Neymar made that look TOO EASY 🔥,ESPN FC,UC6c1z7bA__85CIWZ_jpCK-Q,2022-11-17,GH,17,Sports,24825100,1219027.0,3427.0,1990000,15383,4.91,0.01,1247.49,56,Ghana,GHA
Eno Barony Don't Judge Me Ft. Dee Wills (OFFICIAL VIDEO),Eno Barony,UC33Ms8P4EROhnBQpeVoXEdg,2022-11-16,GH,10,Music,190224,12447.0,1636.0,87000,37,6.54,0.86,218.65,227,Ghana,GHA
"NEW* THIS TIME AROUND - TOOSWEET ANNAN, FRANCES BEN, JENNIFER ODEH LATEST 2022 NIGERIAN MOVIE",MoreplexMovies,UC0g4GD2cyBXB3hMUp9mihTw,2022-11-21,GH,24,Entertainment,455910,4562.0,358.0,282000,75,1.0,0.08,161.67,6556,Ghana,GHA
Argentina vs. Mexico - Melhores Momentos,RTP,UCWPpeeDOykyH5ducPITCDPw,2022-11-26,GH,17,Sports,2344038,28907.0,0.0,615000,24828,1.23,0.0,381.14,126,Ghana,GHA
Please No Parent Should Watch This Maiden Movie Alone - LATEST 2022 NIGERIAN NOLLYWOOD MOVIE,24hrs Nollywood First,UCxcDcvH9txVEN9Q5oCgEW9g,2022-11-16,GH,24,Entertainment,486865,2269.0,197.0,234000,584,0.47,0.04,208.06,36019,Ghana,GHA
"TIKTOKK MAMA (Full Movie) Ebube Obio, Flashboy, Chinyere Wilfred 2022 Latest Nollywood Movie",Uche Nancy tv,UCzKrLr1ZD1uds-7c7vaSjVA,2022-11-18,GH,22,People & Blogs,403229,4948.0,493.0,812000,1570,1.23,0.12,49.66,12830,Ghana,GHA
She really did it her way!,Talent Recap,UCSWwb_YyNB8vuC1VDcfPPaQ,2022-11-14,GH,24,Entertainment,28285664,1859563.0,4185.0,10700000,5084,6.57,0.01,264.35,59,Ghana,GHA
Why Ronaldo WAS NOT awarded Portugal's first goal against Uruguay,Sky Sports Football,UCZ7wY7MRDSygp63HIEfdQZA,2022-11-29,GH,17,Sports,225762,1377.0,365.0,108000,605,0.61,0.16,209.04,34,Ghana,GHA
I Can't Believe This Actually Happened😱 Listen to “Destination” by Crash Adams (Link In Comments)🔥,Crash Adams,UCAxCk_CU0lnz6vJyslY9-Tw,2022-11-09,GH,10,Music,34298806,2320119.0,26069.0,2770000,294,6.76,0.08,1238.22,46,Ghana,GHA
I Went Home Wit Her Only To Act As Her Boyfriend But End Up Felling In Love-NOLLYWOOD MOVIE 2022,NOLLY SERIES TV,UCpxvvU0ipqO3IWsHbRN_laQ,2022-11-16,GH,22,People & Blogs,559617,3297.0,415.0,15000,97,0.59,0.07,3730.78,13434,Ghana,GHA
Bruno Fernandes cross flies past Cristiano Ronaldo’s head and into the net #ShortsFIFAWorldCup,FIFA,UCpcTrCXblq78GZrTUTLWeBw,2022-11-28,GH,17,Sports,1871230,73379.0,1741.0,16000000,10034,3.92,0.09,11.7,33,Ghana,GHA
Larry Gaaga & Black Sherif - 'Letter From Overseas' (Music Video),Larry Gaaga,UCrJOf2HeKFVbV2isobqCXTg,2022-11-10,GH,10,Music,479306,20361.0,1179.0,198000,18,4.25,0.25,242.07,139,Ghana,GHA
"Tiwa Savage, Asake - Loaded (Official Video)",TiwaSavageVEVO,UCS8wMryR2AJKyC2PqP0hE2w,2022-11-07,GH,10,Music,8571814,161200.0,6376.0,51400,46,1.88,0.07,16676.68,170,Ghana,GHA
Brazil v Serbia (Group G) - Highlights - FIFA World Cup 2022™,SBS Sport ,UCn6UMS98Ox-B3jkSWlweJ2w,2022-11-24,GH,17,Sports,5139306,52020.0,2280.0,84000,526,1.01,0.04,6118.22,171,Ghana,GHA
Kofi Kinaata’s Performance at Baaba Spirit’s Funeral,Zionfelix TV,UCC7Zg7mHkWgmwGQJuk30QKQ,2022-11-19,GH,24,Entertainment,53262,709.0,38.0,570000,1939,1.33,0.07,9.34,522,Ghana,GHA
Argentina vs. México (2-0) | Goles | Mundial Catar 2022,TVMAX PANAMÁ,UC1ESp-VpmbrmKHmQIu_NOMQ,2022-11-26,GH,17,Sports,3284161,43745.0,1117.0,50500,1335,1.33,0.03,6503.29,198,Ghana,GHA
"Popcaan - ""Next To Me"" ft Toni-Ann Singh (Official Video)",Popcaan,UCYGHSw2kacL589nNX4l0fMg,2022-11-30,GH,10,Music,301448,34145.0,2196.0,1850000,97,11.33,0.73,16.29,243,Ghana,GHA
Future - 712PM (Directed by Travis Scott),FutureVEVO,UCFNosi99Sp0_eLilBiXmmXA,2022-11-29,GH,10,Music,571622,48924.0,2361.0,4430000,320,8.56,0.41,12.9,176,Ghana,GHA
Match Highlights - Qatar 0-2 Ecuador - FIFA World Cup Qatar 2022 | JioCinema & Sports18,JioCinema,UC8To9CFsZzvPafxMLzS08iA,2022-11-20,GH,17,Sports,2555152,50031.0,1705.0,2270000,869,1.96,0.07,112.56,251,Ghana,GHA
"Frankreich - Dänemark, Highlights | FIFA WM 2022, Gruppenphase | MagentaTV",MAGENTA SPORT,UChr7ZXDFiPOEl543HM4Aj8g,2022-11-26,GH,17,Sports,1792400,15257.0,427.0,167000,8845,0.85,0.02,1073.29,261,Ghana,GHA
Efia Odo Asking For The Relationship Status Of Kudus😂😂😂+ More Black Stars News🇬🇭🇬🇭,Kwadwo Sheldon,UComQiXI7rnjwVU8b6x5epGw,2022-11-29,GH,24,Entertainment,69469,3899.0,462.0,419000,2765,5.61,0.67,16.58,1141,Ghana,GHA
My Wicked HUSBAND thought I'm Dead Never Knew I Will Return With Power To End HIM -LATEST 2022 NIG,Kleanson Concept,UCr1r_V_NIbEeuuEfBWqlJCg,2022-11-08,GH,24,Entertainment,1743142,10321.0,1233.0,66200,191,0.59,0.07,2633.15,14041,Ghana,GHA
"South Korea, Ghana or Uruguay: Who will make it out of the group? | ESPN FC",ESPN FC,UC6c1z7bA__85CIWZ_jpCK-Q,2022-11-29,GH,17,Sports,57792,807.0,670.0,1990000,15383,1.4,1.16,2.9,259,Ghana,GHA
Morgan Freeman kicks off the 2022 FIFA World Cup Opening Ceremony in Qatar | FOX Soccer,FOX Soccer,UCooTLkxcpnTNx6vfOovfBFA,2022-11-20,GH,17,Sports,2760114,45142.0,5287.0,874000,8948,1.64,0.19,315.8,305,Ghana,GHA
"DUMEBI (Season 2) Ebube Obio, Rebecca, Juliet Njemanze, Emma 2022 Trending Nigerian Nollywood Movie",Nolly Familytv,UC0M6BJj039bknQaHNiiOekA,2022-11-27,GH,24,Entertainment,112911,2926.0,363.0,358000,449,2.59,0.32,31.54,3880,Ghana,GHA
Golden Makes Friends With His Neighbor On The Opposite Balcony | The Dodo,The Dodo,UCINb0wqPz-A0dV9nARjJlOQ,2022-11-17,GH,15,Pets & Animals,10997250,889603.0,14604.0,12600000,7245,8.09,0.13,87.28,61,Ghana,GHA
Sarkodie performing Lucky with the BBC Philharmonic,Sarkodie,UC3lnDRwdK-CD2xjO-16zmmg,2022-11-29,GH,10,Music,34827,3175.0,362.0,915000,254,9.12,1.04,3.81,302,Ghana,GHA
Ghana beats South Korea 3-2,Kwadwo Sheldon,UComQiXI7rnjwVU8b6x5epGw,2022-11-28,GH,24,Entertainment,100614,5780.0,839.0,419000,2765,5.74,0.83,24.01,1147,Ghana,GHA
“How the tables have turned.” | Ramyun & Chill | EP.04,DKDKTV,UCVEzR8VHu0JC5xlTr53cMwQ,2022-11-29,GH,24,Entertainment,183388,13017.0,2360.0,786000,1372,7.1,1.29,23.33,3813,Ghana,GHA
Did Cristiano Ronaldo Touch The Ball For Portugal's Opener? FIFA Has Decided!,Oh My Goal - News,UC5hKgzkGrpcMQ1056jcZm-w,2022-11-29,GH,17,Sports,200084,2906.0,435.0,736000,1375,1.45,0.22,27.19,524,Ghana,GHA
AFRICAN HOME: INDIAN WAHALA,SamSpedy,UCUocOQtoaHPuT0K8lME559A,2022-11-10,GH,23,Comedy,1952209,51257.0,3263.0,2730000,270,2.63,0.17,71.51,1453,Ghana,GHA
MARRIAGE VOWS SEASON 6 -(New Trending Movie) Uju Okoli /Chineye Uba 2022 Latest Nigerian Movie,Nollywoodpicturestv,UCi8vPG6uMxIjoZMhLLX2BkQ,2022-11-29,GH,24,Entertainment,68987,1710.0,270.0,2040000,7040,2.48,0.39,3.38,1631,Ghana,GHA
THIS WAS WHAT KUDUS MOHAMMED HAD TO SAY AFTER THE VICTORY AGAINST SOUTH KOREA,GFA - Ghana Football Association,UCqFWYTyuTCqH5f1FQcPLPSw,2022-11-29,GH,17,Sports,19828,1677.0,32.0,63700,1336,8.46,0.16,31.13,48,Ghana,GHA
BEYOND DEATH SEASON 12- (New Trending Movie) Uju Okoli & Mike Godson 2022 Latest Nigerian Movie,Nollywoodpicturestv,UCi8vPG6uMxIjoZMhLLX2BkQ,2022-11-28,GH,24,Entertainment,232348,5409.0,1156.0,2040000,7040,2.33,0.5,11.39,1442,Ghana,GHA
Ruger - Red Flags (Official Video),RugerVEVO,UCugoOHsHbbuPL9421CjxSEA,2022-11-15,GH,10,Music,2668504,77977.0,2914.0,12000,25,2.92,0.11,22237.53,197,Ghana,GHA
江湖俠客小瞧8歲小孩，沒想到他竟是宗師高手 ⚔️ 抗日,枪神婉婉,UCUUH9AxgNIkm4jkozI_gQkA,2022-11-16,GH,22,People & Blogs,2086759,16510.0,629.0,936000,1257,0.79,0.03,222.94,910,Ghana,GHA
"Billie Eilish: Same Interview, The Sixth Year | Vanity Fair",Vanity Fair,UCIsbLox_y9dCIMLd8tdC6qg,2022-11-28,IE,24,Entertainment,4653396,326573.0,12727.0,3910000,2554,7.02,0.27,119.01,1279,Ireland,IRL
The Dumbbell Only 1 Person Could Lift,Browney Shorts,UCuJBpMyxlmemsQiivWPcGrQ,2022-11-22,IE,22,People & Blogs,17338811,1114309.0,2595.0,1660000,253,6.43,0.01,1044.51,60,Ireland,IRL
"W2S OPENS THE 250,000 BIGGEST PACK EVER!! - FIFA 23",W2S+,UC5_IT4-XpinnvNQwM1e15eQ,2022-11-28,IE,24,Entertainment,840747,51903.0,2331.0,3840000,220,6.17,0.28,21.89,693,Ireland,IRL
Metallica: Lux Æterna (Official Music Video),Metallica,UCbulh9WdLtEXiooRcYK7SWw,2022-11-28,IE,10,Music,5410733,292553.0,33250.0,9170000,1791,5.41,0.61,59.0,211,Ireland,IRL
They Teach Babies How To Swim #362,Nas Daily,UCJsUvAqDzczYv2UpFmu4PcA,2022-11-24,IE,19,Travel & Events,5273033,368076.0,2295.0,10300000,1055,6.98,0.04,51.19,59,Ireland,IRL
The Super Mario Bros. Movie Direct – 11.29.2022 (Second Trailer),Nintendo of America,UCGIY_O-8vW4rfX98KlMkvRg,2022-11-29,IE,1,Film & Animation,2650971,142771.0,11494.0,8760000,6043,5.39,0.43,30.26,327,Ireland,IRL
Dodging Russian bullets in Ukraine's freezing trenches,Channel 4 News,UCTrQ7HXWRRxr7OsOtodr2_w,2022-11-28,IE,25,News & Politics,1132933,18167.0,3828.0,2380000,13604,1.6,0.34,47.6,701,Ireland,IRL
Once an athlete always an athlete 🫡 #shorts,MaxPreps,UCX5qMbq8Y9h9TOdFhKUhkrw,2022-11-17,IE,17,Sports,10812382,640749.0,5442.0,1040000,14083,5.93,0.05,1039.65,58,Ireland,IRL
"SIDEMEN $100,000,000 SUPERYACHT HIDE AND SEEK",Sidemen,UCDogdKl7t7NHzQ95aEwkdMw,2022-11-20,IE,24,Entertainment,7181102,336327.0,7744.0,17400000,281,4.68,0.11,41.27,2095,Ireland,IRL
Living With the Worlds Longest Nails!!,Sofie Dossi,UCF0_hwTeQ73IhJuEtsUbEtA,2022-11-22,IE,24,Entertainment,8992069,496139.0,2084.0,7400000,354,5.52,0.02,121.51,41,Ireland,IRL
Scoring 1 AMAZING Goal With Every World Cup Ball (1930-2022),ChrisMD,UCQ-YJstgVdAiCT52TiBWDbg,2022-11-25,IE,24,Entertainment,2633277,122602.0,1911.0,5700000,492,4.66,0.07,46.2,1663,Ireland,IRL
1 Inch Punch (Can You Break This Board?),Stokes Twins,UCbp9MyKCTEww4CxEzc_Tp0Q,2022-11-22,IE,22,People & Blogs,10561152,505334.0,2389.0,17200000,228,4.78,0.02,61.4,57,Ireland,IRL
Gordon Ramsay Tries Most Expensive Chocolate Bar!,MrBeast,UCX6OQ3DkcsbYNE6H8uQQuVA,2022-11-19,IE,24,Entertainment,40438390,3408388.0,10761.0,114000000,730,8.43,0.03,35.47,41,Ireland,IRL
"😱 MrBeast's INSANE $25,000 Challenge With Bradley Martyn!",FULL SEND Podcast Clips,UCOgGwJ2o1mxeS4eVb9_UQaw,2022-11-16,IE,22,People & Blogs,18166419,1095479.0,5475.0,207000,610,6.03,0.03,8776.05,34,Ireland,IRL
"Last To Take Hand Off Jet, Keeps It!",MrBeast,UCX6OQ3DkcsbYNE6H8uQQuVA,2022-11-12,IE,24,Entertainment,62440071,2698962.0,94407.0,114000000,730,4.32,0.15,54.77,937,Ireland,IRL
The Super Mario Bros. Movie - Official Trailer (Universal Pictures) HD,Universal Pictures Australia,UC0L0KUZRoSh0Xt7UL5xFnsA,2022-11-29,IE,24,Entertainment,713545,28105.0,0.0,158000,880,3.94,0.0,451.61,134,Ireland,IRL
The smartest dog in the world | 60 Minutes Archive,60 Minutes,UCsN32BtMd0IoByjJRNF12cw,2022-11-26,IE,25,News & Politics,3726853,65715.0,7295.0,1770000,2466,1.76,0.2,210.56,779,Ireland,IRL
Egg Drop From Space,Mark Rober,UCY1kMZp36IQSyNx_9h4mpCg,2022-11-25,IE,28,Science & Technology,21378591,695561.0,24115.0,23000000,111,3.25,0.11,92.95,1617,Ireland,IRL
Richard Hammond On Why Dutch Police Cars Are So Great 🚓 #Shorts,The Grand Tour,UCZ1Sc5xjWpUnp_o_lUTkvgQ,2022-11-23,IE,24,Entertainment,1623557,94639.0,489.0,2210000,622,5.83,0.03,73.46,60,Ireland,IRL
World's *CRAZIEST* Mind Tricks! (Optical Illusions),MoreAliA,UCyeVfsThIHM_mEZq7YXIQSQ,2022-11-29,IE,20,Gaming,532682,9766.0,787.0,10200000,2121,1.83,0.15,5.22,889,Ireland,IRL
SIDEMEN A-Z CALORIE CHALLENGE,Sidemen,UCDogdKl7t7NHzQ95aEwkdMw,2022-11-13,IE,24,Entertainment,6462534,281754.0,6088.0,17400000,281,4.36,0.09,37.14,2260,Ireland,IRL
Marcus Rashford scores TWO quality goals for England vs Wales #ShortsFIFAWorldCup,FIFA,UCpcTrCXblq78GZrTUTLWeBw,2022-11-29,IE,17,Sports,466557,23181.0,207.0,16000000,10034,4.97,0.04,2.92,32,Ireland,IRL
Teacher proposes to another teacher in front of her class,Reader's Digest,UCKV_ACaioUGSz0pyg07Zekg,2022-11-17,IE,26,Howto & Style,16385238,1209893.0,17767.0,81400,794,7.38,0.11,20129.29,59,Ireland,IRL
ITZY “Cheshire” M/V @ITZY,JYP Entertainment,UCaO6TYtlC8U5ttz62hTrZgg,2022-11-30,IE,10,Music,3375142,537401.0,30885.0,26000000,1592,15.92,0.92,12.98,188,Ireland,IRL
