video_name,channel_name,channel_id,date,region_code,category_Id,category,view,like,comment,channel_subscribers,channel_videoCount,popularity_%,engagement_%,growth_%,duration(sec),country,country_code
أنا مشجع سعودي في كأس العالم 🇸🇦 #عمر_يجرب,عمر فاروق Omar Farooq,UC7lfpgPpjx7YvuE12_UcGrg,2022-11-23,BH,22,People & Blogs,1342708,97010.0,3146.0,5330000,233,7.22,0.23,25.19,638,Bahrain,BHR
ميسي وينو كسرنا عينو 😭🇸🇦🔥 !!,عبدالله النعيمي,UCKrzNQINh6mc03WbgMA5EGA,2022-11-23,BH,17,Sports,627006,50591.0,1776.0,2730000,1045,8.07,0.28,22.97,1150,Bahrain,BHR
تابعت كل مباريات كاس العالم ال64 من الملعب: اليوم 1,Osama Marwah I اسامة مروة,UCwBGFE-r7YeFFHT7JmxWPgg,2022-11-21,BH,22,People & Blogs,1428445,110709.0,3165.0,5740000,157,7.75,0.22,24.89,406,Bahrain,BHR
Morgan Freeman kicks off the 2022 FIFA World Cup Opening Ceremony in Qatar | FOX Soccer,FOX Soccer,UCooTLkxcpnTNx6vfOovfBFA,2022-11-20,BH,17,Sports,2760092,45142.0,5287.0,874000,8948,1.64,0.19,315.8,305,Bahrain,BHR
"وش يصير اذا تحكمت بأعضاء فله باور 👑😂 (  نظف المسبح و لك 10,000$ 🧹🤑 )",FFearFFul,UCluPPa2FoTzks_JupmO4KkA,2022-11-23,BH,24,Entertainment,1004613,89959.0,3516.0,4030000,516,8.95,0.35,24.93,1107,Bahrain,BHR
"Tukoh Taka - Official FIFA Fan Festival™ Anthem | Nicki Minaj, Maluma, & Myriam Fares (FIFA Sound)",FIFA,UCpcTrCXblq78GZrTUTLWeBw,2022-11-18,BH,17,Sports,45605097,782424.0,101191.0,16000000,10034,1.72,0.22,285.03,195,Bahrain,BHR
شافت ابوها فاجأة بعد غياب..!👳🏻‍♂️(مين يشهد للعروسة..!🤭),يوميات حمدى ووفاء,UCLACApi-a7dewNn6EysoE4w,2022-11-21,BH,24,Entertainment,2155224,110593.0,3076.0,6120000,606,5.13,0.14,35.22,1699,Bahrain,BHR
من 0.01$ الى كأس العالم قطر في 30 يوم! اليوم #21,كمستكا,UC4kb-WfHhIQoKyd6ixL9kWw,2022-11-23,BH,20,Gaming,1050794,93370.0,2218.0,1190000,86,8.89,0.21,88.3,485,Bahrain,BHR
اول شخص يفتح الخزنة يفوز 🔥,POWR eSports,UCm6dEXyAMIy0njEOW-suLww,2022-11-23,BH,24,Entertainment,1194713,101362.0,1568.0,2280000,270,8.48,0.13,52.4,1238,Bahrain,BHR
تحدي رجعنا على المدرسة انا و أخواتي 📚🚌,Narins Beauty,UCWXYdNyGX01rnTB-tQci8JQ,2022-11-20,BH,24,Entertainment,1658237,96650.0,4901.0,13700000,418,5.83,0.3,12.1,1019,Bahrain,BHR
